sigla;nome;cred_aula;cred_trabalho;ch_total
ACH2127;Governança de Tecnologia da Informação;4;2;120
ACH3778;Governo Aberto;4;2;120
ACH3638;Governo Eletrônico e Promoção da Cidadania;2;0;30
ACH3107;Habitação e a Cidade para o Envelhecimento;2;0;30
ACH2668;História da Arte Contemporânea;2;0;30
ACH1533;História da Cultura, do Lazer e Turismo;2;0;30
ACH4105;História da Escola no Brasil;4;0;60
ACH2533;História da Moda e da Indumentária;4;0;60
ACH4007;História da Terra e Evolução Biológica;2;0;30
ACH2531;História das Artes;2;0;30
ACH2677;História das Artes Visuais;2;0;30
ACH4044;História e Filosofia da Ciência;4;0;60
ACH0501;História e Filosofia da Educação Física;4;0;60
ACH4063;História Natural;2;0;30
ACH5009;História Social da Criança e da Família;2;0;30
ACH1563;Hospitalidade;4;0;60
ACH1534;Impactos Sócio-Econômicos do Lazer e Turismo;4;0;60
ACH3535;Indicadores de Políticas Públicas;2;0;30
ACH3616;Indicadores de Políticas Públicas Avançados;2;0;30
ACH3104;Indicadores e Medições como Ferramentas de Gestão;2;0;30
ACH4513;Inferência Estatística;4;0;60
ACH1167;Infraestrutura de Dados Espaciais para Gestão Ambiental;2;0;30
ACH4087;Iniciação à Pesquisa em Biologia Vegetal;2;2;90
ACH1575;Inovação em Serviços de Lazer e Turismo;2;0;30
ACH2758;Inovação em Têxtil e Moda;2;0;30
ACH3594;Instituições Políticas Brasileiras;2;0;30
ACH2016;Inteligência Artificial;4;2;120
ACH2016;Inteligência Artificial;4;2;120
ACH1626;Intervenções e Estudos sobre o Campo da Educação não Formal;2;2;90
ACH1576;Intervenções Profissionais em Lazer;4;0;60
ACH1606;Intervenções Profissionais em Lazer - Lazer Comunitário;4;0;60
ACH1566;Intervenções Profissionais em Turismo;4;0;60
ACH1596;Intervenções Profissionais em Turismo - Empreendimentos Turísticos e Desenvolvimento Municipal;4;0;60
ACH1586;Intervenções Profissionais em Turismo  Vivências de Turismo Emissivo e Receptivo;4;0;60
ACH3087;Introdução à abordagem biopsicossocial da dor;2;0;30
ACH3541;Introdução à Administração;2;0;30
ACH2035;Introdução à Administração para Computação;2;0;30
ACH2002;Introdução à Análise de Algoritmos;4;2;120
ACH2002;Introdução à Análise de Algoritmos;4;2;120
ACH1002;Introdução à Biologia;2;0;30
ACH5501;Introdução à Biotecnologia;4;0;60
ACH2177;Introdução à Ciência de Dados;4;2;120
ACH5531;Introdução à Computação;2;0;30
ACH2778;Introdução à Conservação Preventiva de Têxteis;4;0;60
ACH3583;Introdução à Contabilidade e Orçamento Público;2;0;30
ACH3603;Introdução à Contabilidade, ao Orçamento Público e à Administração Financeira;6;0;90
ACH3531;Introdução à Economia;2;0;30
ACH2053;Introdução à Estatística;4;0;60
ACH2053;Introdução à Estatística;4;0;60
ACH3001;Introdução à Gerontologia;2;1;60
ACH2001;Introdução à Programação;4;2;120
ACH2001;Introdução à Programação;4;2;120
