sigla;nome;cred_aula;cred_trabalho;ch_total
ACH3531;Introducao a Economia;2;0;30
ACH2053;Introducao a Estatistica;4;0;60
ACH2053;Introducao a Estatistica;4;0;60
ACH3001;Introducao a Gerontologia;2;1;60
ACH2001;Introducao a Programacao;4;2;120
ACH2001;Introducao a Programacao;4;2;120
ACH4031;Introducao a Quimica I;2;0;30
ACH4032;Introducao a Quimica II;2;0;30
ACH3551;Introducao a Sociologia;4;0;60
ACH2897;Introducao a Sociologia da Arte;2;0;30
ACH2043;Introducao a Teoria da Computacao;4;0;60
ACH2043;Introducao a Teoria da Computacao;4;0;60
ACH4113;Introducao a Termodinâmica;2;0;30
ACH3511;Introducao ao Estudo da Politica;4;0;60
ACH3561;Introducao ao Estudo de Politicas Publicas;4;0;60
ACH3501;Introducao ao Estudo de Politicas Publicas I;4;0;60
ACH3502;Introducao ao Estudo de Politicas Publicas II;4;0;60
ACH2728;Introducao ao Figurino;2;0;30
ACH1084;Introducao ao Geoprocessamento;2;0;30
ACH2118;Introducao ao Processamento de Lingua Natural;4;2;120
ACH4011;Introducao aos Estudos da Educacao;4;0;60
ACH2738;Introducao aos Sistemas Complexos;2;0;30
ACH2808;Introducao aos Texteis Eletrônicos e Dispositivos Vestiveis (e-textiles e wearables);4;2;120
ACH2128;Introducao as Redes Complexas;4;0;60
ACH1504;Inventarios de Lazer e Turismo;4;0;60
ACH3063;Investigacao Cientifica em Gerontologia;2;2;90
ACH1637;Investigacoes e Reflexoes sobre Educacao Nao Formal;2;2;90
ACH2025;Laboratorio de Bancos de Dados;4;2;120
ACH4528;Laboratorio de Criatividade de Marketing;2;0;30
ACH4053;Laboratorio de Fisica;4;0;60
ACH1546;Laboratorio de Hotelaria;4;2;120
